"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","TC01 – Add a new pet with valid data","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","991","TC-GOI-03: Get order using numeric string orderId","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Positive Tests","2-store.spec.ts","",""
"","743","TC08 – Get Pet with string id","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","753","TC010 - Validate response contract matches schema","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","1986","TC03 – Delete pet with invalid ID","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","1320","TC-UP-01: Update existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","538","TC-PO-07: Place order with negative quantity","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","359","Verify pet id","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","850","Verify 404 not found for get pet with string id","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","1254","TC05 – Delete pet with special characters in ID","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","238","TC04 – Add a pet with multiple tags","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint","1-pet.spec.ts","",""
"","2369","TC02 – Update pet with only name using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","2545","TC-UP-04: Upload image with empty file","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","348","Verify pet name","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","1404","TC-UP-03: Update pet with invalid data","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","895","Verify 200 OK status code","","2025-12-12","passed","2025-12-12","Get pet by Id","1-pet.spec.ts","",""
"","330","TC04 – Add a pet with multiple tags","","2025-12-12","passed","2025-12-12","","1-pet.spec.ts","",""
"","2612","TC04 – Find pets with no status parameter","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","865","TC-UP-04: Upload image with empty file","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","527","TC-PO-04: Place order with complete = false","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","4841","TC04 – Delete pet and verify it no longer exists","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","676","TC-UP-03: Upload image with meta data","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","3135","Get order by ID - Positive Case","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Positive Tests","2-store.spec.ts","",""
"","3867","TC-UP-01: Upload image for existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","932","TC06 – Get Pet by ID","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","2033","TC-UP-04: Update pet and verify changes","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","355","TC04 – Update pet without petId using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","2665","TC01 – Find pets by valid status","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","1131","TC-GOI-04: Get order with non-existing orderId","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Negative Tests","2-store.spec.ts","",""
"","1919","TC01 – Add a new pet with valid data","","2025-12-12","passed","2025-12-12","Pet Store API - Add a new pet","1-pet.spec.ts","",""
"","1736","TC-GOI-02: Get order immediately after placing it","","2025-12-18","failed","2025-12-18","Store API - Get Order by ID > Positive Tests","2-store.spec.ts","",""
"","841","TC02 – Add a pet with multiple photos","","2025-12-13","passed","2025-12-13","Pet Store API","1-pet.spec.ts","",""
"","941","TC01 – Delete existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","2502","TC07 – Get non existing bet","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","40","TC-PO-06: Place order with quantity = 0","","2025-12-17","failed","2025-12-17","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","187","TC07 – Name field missing","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint","1-pet.spec.ts","",""
"","909","TC09 - Performance: Get pet by id should respond < 2000ms","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","1346","TC-UP-10: Update pet with boundary values","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","1770","TC06 – Get Pet by ID","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","2665","Place an order for a pet - Positive Case","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","354","TC03 – Add a pet with multiple photos","","2025-12-12","passed","2025-12-12","Pet Store API","1-pet.spec.ts","",""
"","518","TC-GOI-06: Get order with special characters in orderId","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Negative Tests","2-store.spec.ts","",""
"","677","Verify 404 not found for non existing pet id","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","1524","TC08 – Get Pet with string id","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","2915","TC-UP-06: Update pet with large data set","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","381","TC07 – Name field missing","","2025-12-12","failed","2025-12-12","Pet Store API","1-pet.spec.ts","",""
"","393","TC07 – Name field missing","","2025-12-12","failed","2025-12-12","","1-pet.spec.ts","",""
"","1001","TC03 – Add a pet with multiple photos","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","442","TC-PO-06: API allows quantity = 0 (known behavior)","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","602","TC-GOI-07: Get order with empty orderId","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Negative Tests","2-store.spec.ts","",""
"","4514","TC01 – Add a new pet with valid data","","2025-12-13","passed","2025-12-13","Pet Store API > Add new Pet","1-pet.spec.ts","",""
"","407","Verify pet status","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","447","TC03 – Add a pet with multiple photos","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint","1-pet.spec.ts","",""
"","2244","Verify status code","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","1020","Verify 200 OK status code","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","643","TC-UP-02: Upload image for non-existing pet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","390","TC03 – Add a pet with multiple photos","","2025-12-12","passed","2025-12-12","","1-pet.spec.ts","",""
"","1311","TC01 – Update pet name and status using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","659","TC-PO-09: Place order with invalid petId type","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","2856","TC010 - Validate response contract matches schema","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","423","TC-PO-05: Place order with missing petId","","2025-12-18","passed","2025-12-18","Store API - Place Order > Negative Tests","2-store.spec.ts","",""
"","831","TC-UP-02: Update non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","1892","TC03 – Update pet with only status using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","917","TC02 – Find pets by invalid status","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","1487","TC03 – Add a pet with multiple tags","","2025-12-13","passed","2025-12-13","Pet Store API","1-pet.spec.ts","",""
"","1708","TC-UP-05: Update pet with partial data","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","551","TC-UP-02: Upload image for non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","3083","TC03 – Find pets by multiple statuses","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Find Pets by Status endpoint","1-pet.spec.ts","",""
"","349","TC-PO-03: Place order with quantity > 1","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1760","TC-PO-02: Place order with different valid status values","","2025-12-18","passed","2025-12-18","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1052","TC05 – Name field missing","","2025-12-13","passed","2025-12-13","Pet Store API","1-pet.spec.ts","",""
"","796","TC02 – Delete non-existing pet","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for Delete Pet endpoint","1-pet.spec.ts","",""
"","348","TC04 – Add a pet with multiple tags","","2025-12-12","passed","2025-12-12","Pet Store API","1-pet.spec.ts","",""
"","1408","TC-UP-08: Update pet and check response time","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","1238","TC09 - Performance: Get pet by id should respond < 2000ms","","2025-12-13","passed","2025-12-13","Pet Store API > Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","2078","TC-UP-09: Update pet and validate response schema","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","4503","TC-PO-02: Place order with different valid status","","2025-12-17","passed","2025-12-17","Store API - Place Order > Positive Tests","2-store.spec.ts","",""
"","1082","TC07 – Get non existing bet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint","1-pet.spec.ts","",""
"","502","TC-GOI-05: Get order with invalid orderId (alphabets)","","2025-12-18","passed","2025-12-18","Store API - Get Order by ID > Negative Tests","2-store.spec.ts","",""
"","3015","TC07 – Name field missing","","2025-12-12","failed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","1888","TC-UP-07: Update pet with special characters in name","","2025-12-13","passed","2025-12-13","Pet Store API > Test cases for updating existing pet","1-pet.spec.ts","",""
"","3731","TC-UP-03: Upload image with meta data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
"","787","Validate response contract matches schema","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","1020","TC04 – Add a pet with multiple tags","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Add a new pet","1-pet.spec.ts","",""
"","716","Performance: Get pet by id should respond < 2000ms","","2025-12-12","passed","2025-12-12","Pet Store API - Pet Endpoint > Get pet by Id","1-pet.spec.ts","",""
"","540","TC05 – Update pet with invalid petId using form data","","2025-12-13","passed","2025-12-13","Pet Store API > Test Cases for Update Pet with Form Data endpoint","1-pet.spec.ts","",""
"","2462","TC-UP-01: Upload image for existing pet","","2025-12-13","passed","2025-12-13","Test Case for Get By ID endpoint > Test Cases for Upload Pet Image endpoint","1-pet.spec.ts","",""
